physician_id,physician_specialty,physician_state,payment_date,payment_amount,payment_type,paying_company
PHY00082,Neurology,IL,2025-12-20,599.63,Royalty,BioGen Solutions
PHY00444,Psychiatry,IL,2024-11-22,2559.84,Consulting Fee,BioGen Solutions
PHY00048,General Practice,MI,2024-01-18,383.05,Travel & Lodging,Acme Pharma
PHY00224,Neurology,OH,2025-05-02,104.53,Research Payment,Acme Pharma
PHY00337,Pulmonology,TX,2024-08-16,1948.74,Meal,NovaHealth Inc
PHY00270,Endocrinology,CA,2025-08-29,267.5,Royalty,MedCore Ltd
PHY00039,Cardiology,GA,2024-03-12,1439.89,Royalty,BioGen Solutions
PHY00422,Oncology,TX,2024-04-29,60.26,Meal,Acme Pharma
PHY00222,Endocrinology,MI,2025-03-26,117.98,Speaker Fee,MedCore Ltd
PHY00406,Neurology,CA,2025-08-30,128.13,Research Payment,NovaHealth Inc
PHY00200,Endocrinology,NY,2024-09-03,64.99,Royalty,MedCore Ltd
PHY00099,Rheumatology,OH,2025-01-21,318.83,Travel & Lodging,MedCore Ltd
PHY00177,Endocrinology,NC,2024-12-14,129.35,Consulting Fee,BioGen Solutions
PHY00425,Psychiatry,TX,2024-10-13,437.31,Royalty,Acme Pharma
PHY00250,Endocrinology,CA,2025-08-18,89.45,Research Payment,Acme Pharma
PHY00127,Oncology,NY,2025-09-17,84.44,Consulting Fee,MedCore Ltd
PHY00500,Neurology,FL,2025-12-17,97.43,Consulting Fee,BioGen Solutions
PHY00461,Oncology,PA,2024-09-29,85.48,Speaker Fee,MedCore Ltd
PHY00498,Neurology,NC,2024-04-18,290.18,Travel & Lodging,NovaHealth Inc
PHY00111,Psychiatry,MI,2025-11-29,487.67,Research Payment,BioGen Solutions
PHY00229,Cardiology,TX,2025-05-11,596.2,Speaker Fee,NovaHealth Inc
PHY00210,Pulmonology,IL,2025-05-25,811.25,Consulting Fee,NovaHealth Inc
PHY00359,Cardiology,IL,2024-01-13,130.13,Royalty,NovaHealth Inc
PHY00269,General Practice,OH,2024-06-19,1294.66,Research Payment,NovaHealth Inc
PHY00149,Cardiology,MI,2025-09-15,289.89,Meal,BioGen Solutions
PHY00201,General Practice,CA,2024-06-28,18.98,Speaker Fee,MedCore Ltd
PHY00479,Cardiology,NY,2025-07-18,20.07,Royalty,BioGen Solutions
PHY00001,General Practice,IL,2024-02-13,1938.43,Travel & Lodging,BioGen Solutions
PHY00098,Neurology,PA,2025-12-20,123.49,Consulting Fee,MedCore Ltd
PHY00072,Oncology,MI,2025-10-28,363.37,Royalty,MedCore Ltd
PHY00321,Psychiatry,NY,2024-04-16,142.59,Travel & Lodging,BioGen Solutions
PHY00171,Psychiatry,NC,2024-09-29,1106.08,Consulting Fee,MedCore Ltd
PHY00221,Endocrinology,IL,2025-12-25,596.71,Royalty,NovaHealth Inc
PHY00434,Psychiatry,FL,2025-09-05,280.52,Research Payment,Acme Pharma
PHY00192,Endocrinology,NC,2025-05-13,1541.68,Travel & Lodging,BioGen Solutions
PHY00139,General Practice,TX,2024-05-28,288.71,Travel & Lodging,NovaHealth Inc
PHY00063,Pulmonology,OH,2024-04-13,212.84,Consulting Fee,NovaHealth Inc
PHY00147,Endocrinology,CA,2024-07-02,316.61,Royalty,MedCore Ltd
PHY00450,Rheumatology,CA,2025-07-03,84.18,Travel & Lodging,MedCore Ltd
PHY00058,Cardiology,IL,2024-09-25,769.98,Meal,NovaHealth Inc
PHY00288,Pulmonology,FL,2024-04-14,92.18,Travel & Lodging,NovaHealth Inc
PHY00252,Cardiology,NC,2024-12-20,23.98,Royalty,MedCore Ltd
PHY00184,Endocrinology,CA,2024-07-28,250.38,Meal,MedCore Ltd
PHY00472,Psychiatry,PA,2025-12-20,322.35,Speaker Fee,MedCore Ltd
PHY00422,Oncology,TX,2025-05-06,134.73,Meal,BioGen Solutions
PHY00472,Psychiatry,PA,2025-01-09,113.4,Royalty,Acme Pharma
PHY00025,Neurology,OH,2025-05-25,33.82,Royalty,NovaHealth Inc
PHY00490,Pulmonology,IL,2024-03-13,247.61,Speaker Fee,MedCore Ltd
PHY00448,Rheumatology,IL,2024-12-25,691.07,Research Payment,BioGen Solutions
PHY00442,Psychiatry,NY,2024-10-09,298.87,Consulting Fee,BioGen Solutions
PHY00163,Psychiatry,NC,2025-04-04,152.33,Speaker Fee,BioGen Solutions
PHY00351,Neurology,PA,2025-03-09,488.04,Meal,MedCore Ltd
PHY00471,Pulmonology,GA,2024-05-11,955.99,Consulting Fee,NovaHealth Inc
PHY00089,Neurology,CA,2025-07-31,64.87,Royalty,BioGen Solutions
PHY00378,Cardiology,MI,2024-05-28,1061.78,Royalty,Acme Pharma
PHY00446,Endocrinology,MI,2025-04-25,179.36,Meal,NovaHealth Inc
PHY00253,Neurology,FL,2024-05-22,620.75,Consulting Fee,NovaHealth Inc
PHY00389,Cardiology,OH,2024-03-10,1269.62,Consulting Fee,BioGen Solutions
PHY00112,General Practice,IL,2024-12-29,680.35,Speaker Fee,Acme Pharma
PHY00476,Psychiatry,TX,2025-12-26,1098.55,Travel & Lodging,MedCore Ltd
PHY00242,General Practice,IL,2024-05-17,428.4,Research Payment,NovaHealth Inc
PHY00237,Rheumatology,MI,2025-11-23,449.28,Research Payment,MedCore Ltd
PHY00443,Cardiology,IL,2024-08-24,44.28,Travel & Lodging,MedCore Ltd
PHY00002,Neurology,OH,2025-03-24,416.27,Meal,BioGen Solutions
PHY00030,Neurology,TX,2024-04-17,30.17,Research Payment,Acme Pharma
PHY00438,Psychiatry,NY,2025-08-28,492.11,Consulting Fee,BioGen Solutions
PHY00223,Rheumatology,MI,2025-11-28,24.79,Meal,Acme Pharma
PHY00076,Oncology,NY,2025-03-14,87.14,Royalty,MedCore Ltd
PHY00101,General Practice,MI,2024-04-20,67.24,Speaker Fee,NovaHealth Inc
PHY00426,Pulmonology,NY,2025-02-08,319.11,Consulting Fee,NovaHealth Inc
PHY00166,Cardiology,MI,2025-09-02,52.22,Consulting Fee,Acme Pharma
PHY00090,Oncology,TX,2025-10-14,45.76,Consulting Fee,NovaHealth Inc
PHY00337,Pulmonology,TX,2025-05-10,1075.54,Royalty,NovaHealth Inc
PHY00239,Endocrinology,TX,2024-03-12,226.42,Research Payment,BioGen Solutions
PHY00310,Rheumatology,MI,2025-05-23,94.57,Research Payment,MedCore Ltd
PHY00163,Psychiatry,NC,2024-02-29,16.72,Royalty,Acme Pharma
PHY00470,Neurology,FL,2025-07-23,366.24,Speaker Fee,BioGen Solutions
PHY00005,Endocrinology,TX,2025-06-15,2562.17,Royalty,NovaHealth Inc
PHY00059,Endocrinology,CA,2025-03-23,38.75,Consulting Fee,NovaHealth Inc
PHY00462,Pulmonology,GA,2024-01-13,905.87,Meal,BioGen Solutions
PHY00399,Psychiatry,TX,2024-01-19,844.08,Meal,MedCore Ltd
PHY00163,Psychiatry,NC,2024-05-01,1230.24,Meal,MedCore Ltd
PHY00408,Psychiatry,OH,2024-11-12,731.41,Speaker Fee,Acme Pharma
PHY00355,Psychiatry,PA,2024-06-12,206.53,Research Payment,NovaHealth Inc
PHY00314,General Practice,FL,2024-05-07,125.63,Royalty,MedCore Ltd
PHY00296,Neurology,PA,2024-07-05,312.71,Meal,MedCore Ltd
PHY00190,Rheumatology,OH,2025-01-22,57.98,Research Payment,NovaHealth Inc
PHY00287,Cardiology,NY,2024-05-15,172.31,Travel & Lodging,BioGen Solutions
PHY00201,General Practice,CA,2025-05-01,374.0,Meal,BioGen Solutions
PHY00103,Oncology,IL,2024-05-04,179.99,Consulting Fee,MedCore Ltd
PHY00483,Pulmonology,TX,2025-04-02,188.05,Research Payment,Acme Pharma
PHY00423,Rheumatology,PA,2025-07-25,219.93,Speaker Fee,BioGen Solutions
PHY00382,Rheumatology,NY,2024-06-21,331.99,Royalty,MedCore Ltd
PHY00106,Oncology,IL,2024-05-25,156.57,Speaker Fee,MedCore Ltd
PHY00457,Rheumatology,NC,2024-07-20,27.62,Travel & Lodging,BioGen Solutions
PHY00323,Neurology,TX,2024-04-15,608.9,Travel & Lodging,BioGen Solutions
PHY00401,Psychiatry,NY,2024-04-05,218.47,Consulting Fee,BioGen Solutions
PHY00389,Cardiology,OH,2025-02-19,404.86,Royalty,MedCore Ltd
PHY00454,Rheumatology,TX,2024-10-17,209.47,Travel & Lodging,Acme Pharma
PHY00251,Rheumatology,OH,2025-05-29,490.7,Consulting Fee,MedCore Ltd
PHY00076,Oncology,NY,2025-08-21,14.8,Travel & Lodging,Acme Pharma
PHY00329,Psychiatry,GA,2025-12-14,47.46,Travel & Lodging,Acme Pharma
PHY00175,Psychiatry,MI,2024-03-09,420.2,Royalty,Acme Pharma
PHY00412,Psychiatry,IL,2024-08-24,25.95,Consulting Fee,NovaHealth Inc
PHY00206,Pulmonology,OH,2025-05-04,193.81,Consulting Fee,Acme Pharma
PHY00334,Endocrinology,CA,2024-12-20,98.8,Meal,MedCore Ltd
PHY00226,Oncology,IL,2024-04-08,525.05,Royalty,Acme Pharma
PHY00391,Endocrinology,IL,2025-05-17,132.58,Consulting Fee,MedCore Ltd
PHY00382,Rheumatology,NY,2025-07-29,202.37,Travel & Lodging,Acme Pharma
PHY00187,Oncology,OH,2025-10-17,237.23,Royalty,Acme Pharma
PHY00364,Oncology,NY,2025-05-05,219.84,Meal,MedCore Ltd
PHY00333,Neurology,GA,2025-10-03,233.91,Speaker Fee,BioGen Solutions
PHY00411,Endocrinology,CA,2024-10-09,1598.98,Royalty,BioGen Solutions
PHY00488,Neurology,NC,2024-01-12,400.71,Research Payment,NovaHealth Inc
PHY00043,Oncology,TX,2024-01-17,105.64,Meal,Acme Pharma
PHY00008,Pulmonology,PA,2024-03-30,67.97,Meal,MedCore Ltd
PHY00118,Rheumatology,MI,2024-06-23,551.6,Research Payment,MedCore Ltd
PHY00124,General Practice,FL,2025-01-15,96.54,Research Payment,Acme Pharma
PHY00195,General Practice,CA,2024-08-15,446.78,Research Payment,NovaHealth Inc
PHY00021,Rheumatology,GA,2024-03-04,2233.85,Research Payment,BioGen Solutions
PHY00311,Psychiatry,TX,2024-10-11,141.05,Meal,NovaHealth Inc
PHY00406,Neurology,CA,2024-08-11,106.32,Speaker Fee,Acme Pharma
PHY00438,Psychiatry,NY,2024-01-30,1605.76,Research Payment,BioGen Solutions
PHY00318,Cardiology,CA,2024-08-08,87.23,Meal,NovaHealth Inc
PHY00180,Endocrinology,CA,2025-01-01,73.5,Travel & Lodging,NovaHealth Inc
PHY00070,Rheumatology,FL,2024-04-25,99.19,Consulting Fee,MedCore Ltd
PHY00009,General Practice,MI,2024-10-14,155.93,Meal,BioGen Solutions
PHY00126,Psychiatry,MI,2025-08-09,1011.13,Research Payment,NovaHealth Inc
PHY00442,Psychiatry,NY,2024-10-26,714.47,Research Payment,BioGen Solutions
PHY00339,Neurology,IL,2025-08-29,2198.53,Research Payment,MedCore Ltd
PHY00322,Pulmonology,PA,2024-07-05,38.78,Meal,MedCore Ltd
PHY00273,Psychiatry,CA,2024-05-23,25.64,Royalty,BioGen Solutions
PHY00245,General Practice,NY,2024-04-16,111.06,Research Payment,MedCore Ltd
PHY00327,Endocrinology,TX,2025-02-13,152.79,Speaker Fee,MedCore Ltd
PHY00095,Rheumatology,CA,2025-12-21,78.04,Speaker Fee,BioGen Solutions
PHY00386,Psychiatry,IL,2025-09-09,108.59,Meal,MedCore Ltd
PHY00019,Psychiatry,MI,2025-02-13,131.05,Travel & Lodging,Acme Pharma
PHY00195,General Practice,CA,2024-01-12,176.66,Travel & Lodging,NovaHealth Inc
PHY00283,Rheumatology,IL,2024-06-30,1716.28,Meal,NovaHealth Inc
PHY00030,Neurology,TX,2025-08-18,735.67,Royalty,MedCore Ltd
PHY00281,Neurology,IL,2024-04-05,586.8,Consulting Fee,Acme Pharma
PHY00361,Neurology,IL,2025-01-08,70.48,Speaker Fee,BioGen Solutions
PHY00421,Oncology,IL,2024-09-02,343.95,Meal,NovaHealth Inc
PHY00363,Cardiology,MI,2024-10-09,74.78,Consulting Fee,MedCore Ltd
PHY00162,Cardiology,NY,2024-06-08,623.42,Consulting Fee,MedCore Ltd
PHY00346,General Practice,NC,2024-07-19,233.5,Speaker Fee,MedCore Ltd
PHY00226,Oncology,IL,2025-11-18,268.02,Consulting Fee,BioGen Solutions
PHY00124,General Practice,FL,2025-11-06,176.4,Royalty,BioGen Solutions
PHY00386,Psychiatry,IL,2025-11-01,147.76,Meal,Acme Pharma
PHY00156,Oncology,MI,2024-12-05,1106.81,Research Payment,BioGen Solutions
PHY00280,Oncology,MI,2025-09-13,309.69,Royalty,NovaHealth Inc
PHY00128,Cardiology,MI,2024-11-09,93.94,Meal,NovaHealth Inc
PHY00454,Rheumatology,TX,2024-02-05,36.21,Research Payment,MedCore Ltd
PHY00148,Endocrinology,GA,2025-06-13,698.55,Royalty,BioGen Solutions
PHY00151,Endocrinology,NY,2025-04-24,184.64,Research Payment,MedCore Ltd
PHY00149,Cardiology,MI,2024-04-13,290.77,Travel & Lodging,NovaHealth Inc
PHY00231,Rheumatology,MI,2025-12-18,82.64,Research Payment,BioGen Solutions
PHY00142,Cardiology,CA,2024-11-12,999.55,Royalty,MedCore Ltd
PHY00015,Psychiatry,OH,2025-07-09,223.94,Meal,NovaHealth Inc
PHY00261,Cardiology,NY,2024-04-18,636.44,Travel & Lodging,MedCore Ltd
PHY00343,Endocrinology,CA,2025-09-07,72.82,Travel & Lodging,Acme Pharma
PHY00245,General Practice,NY,2024-10-13,68.34,Travel & Lodging,Acme Pharma
PHY00476,Psychiatry,TX,2024-03-23,1210.3,Royalty,NovaHealth Inc
PHY00429,Cardiology,OH,2025-05-22,321.15,Travel & Lodging,Acme Pharma
PHY00072,Oncology,MI,2024-09-03,62.88,Travel & Lodging,BioGen Solutions
PHY00495,Pulmonology,OH,2025-07-19,227.04,Travel & Lodging,Acme Pharma
PHY00054,Neurology,FL,2025-12-30,23.21,Research Payment,BioGen Solutions
PHY00129,Neurology,CA,2025-12-06,152.39,Research Payment,MedCore Ltd
PHY00326,Rheumatology,NC,2024-01-08,94.56,Travel & Lodging,MedCore Ltd
PHY00163,Psychiatry,NC,2025-12-09,151.58,Travel & Lodging,MedCore Ltd
PHY00204,Cardiology,NY,2024-07-30,847.99,Meal,BioGen Solutions
PHY00275,Cardiology,GA,2024-04-11,654.37,Travel & Lodging,Acme Pharma
PHY00171,Psychiatry,NC,2025-10-14,943.54,Meal,MedCore Ltd
PHY00111,Psychiatry,MI,2024-02-12,587.8,Travel & Lodging,MedCore Ltd
PHY00500,Neurology,FL,2024-07-18,5248.11,Meal,Acme Pharma
PHY00020,Endocrinology,CA,2025-03-15,113.22,Travel & Lodging,MedCore Ltd
PHY00039,Cardiology,GA,2025-03-10,1008.87,Royalty,BioGen Solutions
PHY00154,Endocrinology,OH,2024-02-11,3767.18,Travel & Lodging,BioGen Solutions
PHY00294,Oncology,IL,2025-09-01,2604.61,Royalty,MedCore Ltd
PHY00230,Pulmonology,NC,2025-01-03,239.04,Speaker Fee,MedCore Ltd
PHY00065,General Practice,PA,2024-08-19,65.08,Travel & Lodging,BioGen Solutions
PHY00317,Endocrinology,NC,2024-11-19,287.94,Consulting Fee,MedCore Ltd
PHY00154,Endocrinology,OH,2025-10-13,570.95,Royalty,Acme Pharma
PHY00088,Cardiology,MI,2025-12-20,182.87,Consulting Fee,Acme Pharma
PHY00089,Neurology,CA,2025-01-15,71.4,Royalty,MedCore Ltd
PHY00075,Pulmonology,GA,2025-04-24,1070.63,Consulting Fee,BioGen Solutions
PHY00366,General Practice,IL,2025-09-25,552.65,Research Payment,BioGen Solutions
PHY00498,Neurology,NC,2025-06-23,207.6,Travel & Lodging,BioGen Solutions
PHY00313,Neurology,NC,2025-06-21,206.55,Consulting Fee,MedCore Ltd
PHY00270,Endocrinology,CA,2024-11-29,1222.12,Travel & Lodging,NovaHealth Inc
PHY00348,Neurology,CA,2024-09-29,354.14,Royalty,NovaHealth Inc
PHY00047,Psychiatry,NC,2024-06-29,235.93,Royalty,MedCore Ltd
PHY00422,Oncology,TX,2024-11-15,395.67,Consulting Fee,NovaHealth Inc
PHY00138,Cardiology,GA,2025-03-16,286.37,Research Payment,NovaHealth Inc
PHY00230,Pulmonology,NC,2025-11-03,174.9,Speaker Fee,MedCore Ltd
PHY00401,Psychiatry,NY,2025-10-05,76.9,Travel & Lodging,NovaHealth Inc
PHY00218,Pulmonology,OH,2024-09-16,3288.11,Consulting Fee,Acme Pharma
PHY00291,Cardiology,NC,2025-06-03,1021.12,Research Payment,MedCore Ltd
PHY00467,Psychiatry,GA,2024-10-18,91.89,Travel & Lodging,MedCore Ltd
PHY00334,Endocrinology,CA,2025-01-11,268.75,Speaker Fee,MedCore Ltd
PHY00413,Rheumatology,FL,2025-06-11,875.17,Meal,Acme Pharma
PHY00017,Neurology,MI,2025-07-04,299.17,Royalty,NovaHealth Inc
PHY00432,Rheumatology,FL,2024-02-08,43.84,Royalty,BioGen Solutions
PHY00066,Oncology,FL,2024-04-17,248.22,Meal,NovaHealth Inc
PHY00292,Endocrinology,CA,2025-06-13,76.84,Research Payment,Acme Pharma
PHY00383,Neurology,TX,2025-03-17,117.5,Speaker Fee,BioGen Solutions
PHY00090,Oncology,TX,2025-01-24,412.89,Royalty,Acme Pharma
PHY00030,Neurology,TX,2024-02-02,11.72,Speaker Fee,Acme Pharma
PHY00012,General Practice,GA,2025-09-21,38.27,Royalty,Acme Pharma
PHY00332,Cardiology,OH,2025-06-24,976.07,Consulting Fee,BioGen Solutions
PHY00190,Rheumatology,OH,2024-04-26,2670.08,Research Payment,MedCore Ltd
PHY00438,Psychiatry,NY,2024-09-30,90.15,Travel & Lodging,BioGen Solutions
PHY00171,Psychiatry,NC,2025-12-22,51.88,Consulting Fee,MedCore Ltd
PHY00443,Cardiology,IL,2025-08-29,129.2,Speaker Fee,BioGen Solutions
PHY00068,Cardiology,OH,2025-12-22,252.49,Royalty,NovaHealth Inc
PHY00172,Pulmonology,IL,2025-01-17,30.51,Royalty,NovaHealth Inc
PHY00025,Neurology,OH,2025-05-17,39.41,Royalty,BioGen Solutions
PHY00412,Psychiatry,IL,2024-08-11,1990.39,Meal,BioGen Solutions
PHY00119,Psychiatry,MI,2025-03-08,52.15,Research Payment,BioGen Solutions
PHY00197,Oncology,FL,2025-07-07,347.67,Research Payment,MedCore Ltd
PHY00443,Cardiology,IL,2024-11-25,17.96,Research Payment,BioGen Solutions
PHY00367,Rheumatology,NC,2025-01-21,595.84,Travel & Lodging,NovaHealth Inc
PHY00348,Neurology,CA,2024-01-29,128.27,Royalty,Acme Pharma
PHY00349,Psychiatry,IL,2024-05-26,207.88,Travel & Lodging,MedCore Ltd
PHY00008,Pulmonology,PA,2024-05-01,250.28,Research Payment,BioGen Solutions
PHY00045,Neurology,PA,2024-05-15,59.98,Research Payment,BioGen Solutions
PHY00496,General Practice,PA,2024-01-09,471.7,Consulting Fee,BioGen Solutions
PHY00015,Psychiatry,OH,2025-09-05,265.77,Speaker Fee,Acme Pharma
PHY00278,Rheumatology,IL,2025-02-11,10.19,Speaker Fee,BioGen Solutions
PHY00208,Neurology,NY,2025-09-13,1238.68,Consulting Fee,Acme Pharma
PHY00306,Pulmonology,MI,2024-01-12,627.65,Meal,Acme Pharma
PHY00279,Cardiology,PA,2024-06-19,934.05,Royalty,BioGen Solutions
PHY00453,Rheumatology,MI,2025-03-02,178.56,Travel & Lodging,MedCore Ltd
PHY00319,General Practice,IL,2025-03-16,134.07,Meal,BioGen Solutions
PHY00056,Neurology,PA,2024-06-03,139.1,Meal,MedCore Ltd
PHY00481,Neurology,NY,2024-03-08,1394.42,Royalty,Acme Pharma
PHY00482,Rheumatology,OH,2024-11-18,260.55,Royalty,Acme Pharma
PHY00269,General Practice,OH,2025-12-09,440.98,Consulting Fee,MedCore Ltd
PHY00118,Rheumatology,MI,2025-01-01,397.37,Research Payment,NovaHealth Inc
PHY00175,Psychiatry,MI,2025-08-10,48.64,Research Payment,NovaHealth Inc
PHY00111,Psychiatry,MI,2025-03-14,447.31,Royalty,Acme Pharma
PHY00428,Neurology,OH,2025-12-28,161.1,Consulting Fee,Acme Pharma
PHY00051,General Practice,MI,2025-12-26,445.99,Speaker Fee,MedCore Ltd
PHY00439,General Practice,TX,2025-11-29,128.98,Consulting Fee,BioGen Solutions
PHY00028,Oncology,MI,2025-11-22,94.19,Travel & Lodging,MedCore Ltd
PHY00080,Neurology,IL,2024-10-20,407.19,Research Payment,NovaHealth Inc
PHY00343,Endocrinology,CA,2024-11-05,298.53,Travel & Lodging,MedCore Ltd
PHY00173,Endocrinology,NC,2025-07-11,126.45,Meal,BioGen Solutions
PHY00214,General Practice,FL,2024-03-25,70.21,Consulting Fee,Acme Pharma
PHY00134,Pulmonology,OH,2025-10-24,196.16,Travel & Lodging,MedCore Ltd
PHY00343,Endocrinology,CA,2024-12-17,964.14,Consulting Fee,Acme Pharma
PHY00313,Neurology,NC,2025-09-06,30.6,Travel & Lodging,Acme Pharma
PHY00428,Neurology,OH,2025-04-10,196.33,Meal,BioGen Solutions
PHY00134,Pulmonology,OH,2024-12-12,32.99,Consulting Fee,Acme Pharma
PHY00109,Rheumatology,IL,2025-06-16,558.07,Research Payment,Acme Pharma
PHY00343,Endocrinology,CA,2025-10-21,1422.04,Research Payment,NovaHealth Inc
PHY00117,Cardiology,OH,2025-08-26,370.94,Consulting Fee,NovaHealth Inc
PHY00498,Neurology,NC,2024-10-23,4983.4,Royalty,BioGen Solutions
PHY00249,Cardiology,FL,2025-07-03,176.72,Speaker Fee,MedCore Ltd
PHY00259,Psychiatry,MI,2025-05-17,117.5,Research Payment,BioGen Solutions
PHY00225,Oncology,MI,2025-10-25,84.16,Travel & Lodging,NovaHealth Inc
PHY00001,General Practice,IL,2024-06-01,164.98,Research Payment,Acme Pharma
PHY00126,Psychiatry,MI,2025-05-05,31.51,Research Payment,BioGen Solutions
PHY00407,Rheumatology,GA,2025-12-23,653.15,Consulting Fee,MedCore Ltd
PHY00182,General Practice,FL,2025-05-13,90.67,Consulting Fee,NovaHealth Inc
PHY00336,Psychiatry,CA,2025-03-14,60.03,Speaker Fee,NovaHealth Inc
PHY00345,Endocrinology,TX,2024-02-14,37.82,Consulting Fee,MedCore Ltd
PHY00491,Psychiatry,MI,2025-07-04,2287.69,Speaker Fee,NovaHealth Inc
PHY00030,Neurology,TX,2024-09-30,103.25,Consulting Fee,BioGen Solutions
PHY00015,Psychiatry,OH,2025-05-30,37.5,Consulting Fee,Acme Pharma
PHY00137,Cardiology,FL,2024-06-02,3883.01,Speaker Fee,BioGen Solutions
PHY00258,Rheumatology,OH,2025-08-27,41.46,Research Payment,MedCore Ltd
PHY00426,Pulmonology,NY,2025-09-12,76.09,Travel & Lodging,MedCore Ltd
PHY00191,General Practice,OH,2024-12-31,819.39,Consulting Fee,NovaHealth Inc
PHY00117,Cardiology,OH,2024-09-23,138.57,Research Payment,MedCore Ltd
PHY00376,Neurology,OH,2025-10-14,157.75,Meal,Acme Pharma
PHY00074,Oncology,CA,2025-05-22,632.8,Speaker Fee,NovaHealth Inc
PHY00312,General Practice,IL,2025-07-25,628.27,Research Payment,BioGen Solutions
PHY00157,General Practice,GA,2024-07-24,691.69,Consulting Fee,BioGen Solutions
PHY00434,Psychiatry,FL,2024-07-01,174.32,Consulting Fee,Acme Pharma
PHY00130,Neurology,GA,2025-10-26,462.81,Speaker Fee,BioGen Solutions
PHY00070,Rheumatology,FL,2025-12-07,1714.71,Speaker Fee,BioGen Solutions
PHY00082,Neurology,IL,2025-08-09,1150.92,Travel & Lodging,NovaHealth Inc
PHY00315,Endocrinology,PA,2025-04-11,612.12,Royalty,BioGen Solutions
PHY00318,Cardiology,CA,2024-05-23,427.42,Consulting Fee,MedCore Ltd
PHY00439,General Practice,TX,2025-06-30,417.9,Royalty,Acme Pharma
PHY00467,Psychiatry,GA,2025-09-03,40.05,Consulting Fee,MedCore Ltd
PHY00111,Psychiatry,MI,2024-08-19,61.05,Travel & Lodging,MedCore Ltd
PHY00210,Pulmonology,IL,2025-08-14,333.75,Research Payment,Acme Pharma
PHY00007,Pulmonology,MI,2024-06-03,315.86,Speaker Fee,NovaHealth Inc
PHY00036,Pulmonology,FL,2025-06-01,364.23,Research Payment,NovaHealth Inc
PHY00409,Neurology,MI,2025-03-14,290.07,Consulting Fee,NovaHealth Inc
PHY00152,Endocrinology,TX,2024-11-26,69.71,Speaker Fee,MedCore Ltd
PHY00387,Endocrinology,NC,2024-03-15,253.39,Royalty,Acme Pharma
PHY00078,Neurology,OH,2025-08-24,330.15,Royalty,BioGen Solutions
PHY00328,General Practice,MI,2024-06-27,123.74,Meal,MedCore Ltd
PHY00224,Neurology,OH,2025-12-26,841.64,Royalty,MedCore Ltd
PHY00035,Rheumatology,NC,2025-01-13,697.0,Travel & Lodging,NovaHealth Inc
PHY00237,Rheumatology,MI,2025-09-07,227.27,Consulting Fee,BioGen Solutions
PHY00331,Cardiology,IL,2024-10-24,232.61,Research Payment,Acme Pharma
PHY00178,Endocrinology,GA,2025-07-28,272.96,Consulting Fee,BioGen Solutions
PHY00432,Rheumatology,FL,2025-01-23,2138.46,Travel & Lodging,MedCore Ltd
PHY00175,Psychiatry,MI,2025-03-21,97.68,Research Payment,Acme Pharma
PHY00415,Endocrinology,GA,2024-04-04,13.78,Consulting Fee,MedCore Ltd
PHY00024,Psychiatry,PA,2025-09-19,187.7,Royalty,NovaHealth Inc
PHY00335,Rheumatology,PA,2024-03-19,80.34,Royalty,BioGen Solutions
PHY00271,Rheumatology,NY,2025-07-15,46.41,Travel & Lodging,NovaHealth Inc
PHY00047,Psychiatry,NC,2024-12-26,633.93,Speaker Fee,MedCore Ltd
PHY00488,Neurology,NC,2024-12-17,220.02,Speaker Fee,NovaHealth Inc
PHY00079,General Practice,MI,2024-08-23,286.31,Royalty,Acme Pharma
PHY00349,Psychiatry,IL,2024-04-07,206.44,Research Payment,Acme Pharma
PHY00038,Cardiology,CA,2024-01-14,53.98,Travel & Lodging,NovaHealth Inc
PHY00386,Psychiatry,IL,2024-07-27,890.39,Royalty,Acme Pharma
PHY00340,Neurology,MI,2025-08-19,206.33,Research Payment,Acme Pharma
PHY00022,Pulmonology,CA,2024-10-17,89.03,Speaker Fee,BioGen Solutions
PHY00130,Neurology,GA,2024-05-11,396.96,Research Payment,BioGen Solutions
PHY00482,Rheumatology,OH,2025-01-24,685.63,Research Payment,MedCore Ltd
PHY00448,Rheumatology,IL,2025-06-11,139.54,Travel & Lodging,Acme Pharma
PHY00165,Oncology,FL,2025-05-02,950.96,Speaker Fee,Acme Pharma
PHY00363,Cardiology,MI,2025-09-03,225.92,Royalty,MedCore Ltd
PHY00214,General Practice,FL,2024-10-04,474.22,Travel & Lodging,NovaHealth Inc
PHY00097,Oncology,IL,2025-06-13,568.63,Consulting Fee,BioGen Solutions
PHY00097,Oncology,IL,2025-05-27,254.85,Speaker Fee,BioGen Solutions
PHY00171,Psychiatry,NC,2024-02-28,70.09,Consulting Fee,MedCore Ltd
PHY00106,Oncology,IL,2024-04-14,343.66,Royalty,MedCore Ltd
PHY00290,Psychiatry,TX,2025-08-21,299.68,Speaker Fee,NovaHealth Inc
PHY00472,Psychiatry,PA,2024-02-25,105.19,Royalty,Acme Pharma
PHY00113,Psychiatry,OH,2024-08-16,314.59,Travel & Lodging,BioGen Solutions
PHY00189,General Practice,CA,2025-03-01,355.58,Royalty,BioGen Solutions
PHY00286,Endocrinology,NY,2025-12-08,410.11,Travel & Lodging,BioGen Solutions
PHY00248,Cardiology,PA,2024-05-25,329.62,Royalty,Acme Pharma
PHY00052,Rheumatology,PA,2024-12-28,34.79,Research Payment,Acme Pharma
